Product,Section,DocPage,OfficialEndpoint,HTTP_or_Channel,DocSummary,ProductUseCase,CodeLocation,ChecklistRowId,ProjectStatus,TestCoverage,TierMin,Notes
REST,Tickers,Tickers,GET /v3/reference/tickers,GET,"Paginated list of active and historical stock ticker symbols with filters (market, type, exchange, active)","Browse universe of available stock tickers for watchlist or screening",(not implemented),stock-tickers,not-implemented,N/A,starter,Paginated; supports search and active/inactive filters.
REST,Tickers,Ticker Details,"GET /v3/reference/tickers/{ticker}",GET,"Company metadata for a single ticker (name, market cap, SIC code, locale, primary exchange, description)","Lookup detailed company info for a stock ticker; populate stock profile cards",(not implemented),stock-tickers,not-implemented,N/A,starter,Returns branding logos and company description when available.
REST,Tickers,Ticker Types,GET /v3/reference/tickers/types,GET,"List of ticker types (CS, ETF, ADRC, FUND, etc.) with descriptions","Reference filter for screening; map type codes to human-readable labels",(not implemented),stock-tickers,not-implemented,N/A,starter,Read-only reference.
REST,Tickers,Related Companies,"GET /v3/reference/related-companies/{ticker}",GET,"List of related company tickers for a given stock","Build peer-comparison views and sector groupings",(not implemented),stock-tickers,not-implemented,N/A,starter,Returns tickers of related companies.
REST,Tickers,Ticker Events,GET /vX/reference/ticker-events,GET,"Corporate event timeline (IPOs, mergers, name changes) for a ticker","Display historical ticker lifecycle events in stock profile",(not implemented),stock-tickers,not-implemented,N/A,starter,Experimental (vX) endpoint.
REST,Aggregate Bars (OHLC),Custom Bars (OHLC),"GET /v2/aggs/ticker/{stocksTicker}/range/{multiplier}/{timespan}/{from}/{to}",GET,"Custom-range OHLCV bars for a stock ticker with configurable timespan and multiplier","Backfill stock bars for charting and backtesting; complement IB bars with Massive source",(not implemented),stock-aggregates,not-implemented,N/A,starter,Supports minute/hour/day/week/month/quarter/year timespans. 15-min delay on Starter.
REST,Aggregate Bars (OHLC),Grouped Daily,"GET /v2/aggs/grouped/locale/us/market/stocks/{date}",GET,"Daily OHLCV for all US stocks on a single date","Bulk daily snapshot; useful for universe-wide screening and gap analysis",(not implemented),stock-aggregates,not-implemented,N/A,starter,Returns bars for all traded tickers on the given date.
REST,Aggregate Bars (OHLC),Daily Open/Close,"GET /v1/open-close/{stocksTicker}/{date}",GET,"Official open, close, high, low, volume, pre-market, and after-hours for one ticker on one date","Single-day summary with extended hours data",(not implemented),stock-aggregates,not-implemented,N/A,starter,Includes pre-market and after-hours prices when available.
REST,Aggregate Bars (OHLC),Previous Close,"GET /v2/aggs/ticker/{stocksTicker}/prev",GET,"Previous trading day OHLC bar for a stock ticker","Quick baseline price reference without calendar math",(not implemented),stock-aggregates,not-implemented,N/A,starter,Single-bar convenience endpoint.
REST,Snapshots,All Tickers,"GET /v2/snapshot/locale/us/markets/stocks/tickers",GET,"Real-time snapshot for all US stock tickers (last trade, last quote, minute/day bars, prev day)","Universe-wide current state; screener input for gainers/losers/volume leaders",(not implemented),stock-snapshots,not-implemented,N/A,starter,15-min delay on Starter. Can filter by tickers param.
REST,Snapshots,Single Ticker,"GET /v2/snapshot/locale/us/markets/stocks/tickers/{ticker}",GET,"Real-time snapshot for one stock ticker (last trade, quote, minute/day/prev day bars)","Quick current-state lookup for a single stock",(not implemented),stock-snapshots,not-implemented,N/A,starter,15-min delay on Starter.
REST,Snapshots,Gainers/Losers,"GET /v2/snapshot/locale/us/markets/stocks/{direction}",GET,"Top gainers or losers by percent change for the current trading day","Market movers widget; sorted by daily percent change",(not implemented),stock-snapshots,not-implemented,N/A,starter,"Direction = gainers or losers. 15-min delay on Starter."
