Product,Section,DocPage,OfficialEndpoint,HTTP_or_Channel,DocSummary,ProductUseCase,CodeLocation,ChecklistRowId,ProjectStatus,TestCoverage,TierMin,Notes
REST,Contracts,All Contracts,GET /v3/reference/options/contracts,GET,"Paginated index of all option contracts (active + expired), with strike/expiry/type filters","Contracts List tab + expirations/strikes resolution; supports filters and summary evidence",MassiveClient.fetch_option_contracts_list + fetch_expirations_and_strikes,contracts,implemented,"pytest: no | manual: Massive Option → Contracts → Contracts List",starter,Implemented in Massive Option Contracts section.
REST,Contracts,Contract Overview,"GET /v3/reference/options/contracts/{options_ticker}",GET,"Detailed info for a single contract (type, exercise style, expiry, strike, exchange)","Contracts Detail tab in Massive Option page; returns metadata for one options ticker",MassiveClient.fetch_option_contract_detail + run_massive_job(kind=contracts, mode=detail),contracts,implemented,"pytest: no | manual: Massive Option → Contracts → Contract Detail",starter,Implemented with Celery contracts detail mode.
REST,Aggregate Bars (OHLC),Custom Bars (OHLC),"GET /v2/aggs/ticker/{optionsTicker}/range/{multiplier}/{timespan}/{from}/{to}",GET,Custom-range OHLCV bars for an options contract,"Backfill per-contract bars → option_min; Celery job kind=aggregates mode=custom_bars",MassiveClient.fetch_option_aggs → run_massive_job,aggregates,implemented,"pytest: no | manual: enqueue aggregates job, check option_min",starter,Core data pipeline. No pytest for fetch_option_aggs or Celery branch.
REST,Aggregate Bars (OHLC),Daily Ticker Summary (OHLC),"GET /v1/open-close/{optionsTicker}/{date}",GET,Daily OHLC + pre-market/after-hours for one contract on one date,Single-day summary; Celery job kind=aggregates mode=open_close,MassiveClient.fetch_option_open_close → run_massive_job,aggregates,implemented,pytest: yes (tests/test_massive_client.py::TestFetchOptionOpenClose),starter,
REST,Aggregate Bars (OHLC),Previous Day Bar (OHLC),"GET /v2/aggs/ticker/{optionsTicker}/prev",GET,Previous trading day OHLC bar for an options contract,Quick baseline; Celery job kind=aggregates mode=prev,MassiveClient.fetch_option_previous_day → run_massive_job,aggregates,implemented,pytest: yes (tests/test_massive_client.py::TestFetchOptionPreviousDay),starter,
REST,Snapshots,Option Chain Snapshot,"GET /v3/snapshot/options/{underlyingAsset}",GET,"Full option chain snapshot: greeks, IV, quotes, trades, OI per contract","Pull delayed chain → option_contracts + option_snapshots; Celery job kind=snapshot type=chain",MassiveClient.fetch_options_snapshot → _apply_snapshot,snapshot,implemented,"pytest: no | manual: enqueue snapshot job, GET /research/option-snapshots",starter,Core data pipeline. High-priority test gap.
REST,Snapshots,Option Contract Snapshot,"GET /v3/snapshot/options/{underlyingAsset}/{optionContract}",GET,Single-contract snapshot with greeks/IV/quotes/trades/OI,Per-contract detail; Celery job kind=snapshot type=contract,MassiveClient.fetch_option_contract_snapshot → run_massive_job,snapshot,implemented,pytest: no | manual: enqueue contract snapshot job,starter,
REST,Snapshots,Unified Snapshot,GET /v3/snapshot,GET,Unified cross-asset snapshot (stocks + options + forex + crypto),Multi-asset query; Celery job kind=snapshot type=unified,MassiveClient.fetch_unified_snapshot → run_massive_job,snapshot,implemented,pytest: no | manual: enqueue unified snapshot job,starter,
REST,Trade & Quotes,Last Trade,"GET /v2/last/trade/{optionsTicker}",GET,Most recent trade for a contract (price/size/exchange/timestamp),"MassiveClient.fetch_last_trade → GET /research/massive/trades-quotes/last-trade/{ticker}; Celery kind=trades_quotes mode=last_trade",servers/massive_client.py + servers/routers/research.py,trades-quotes,implemented,N/A,starter,Read-only real-time query; available on Starter tier.
REST,Trade & Quotes,Quotes,"GET /v3/quotes/{optionsTicker}",GET,Historical BBO quotes for a contract over a time range,"MassiveClient.fetch_option_quotes → GET /research/massive/trades-quotes/quotes/{ticker}; Celery kind=trades_quotes mode=quotes",servers/massive_client.py + servers/routers/research.py,trades-quotes,implemented,N/A,starter,Read-only query with timestamp range and pagination; available on Starter tier.
